datetime,main.temp,main.humidity,main.feels_like,city_name
2026-01-01 07:01:23+08:00,22.56,91.0,23.25,Dagupan
2026-01-01 07:01:30+08:00,25.05,100.0,26.22,Davao
2026-01-01 07:01:32+08:00,25.23,91.0,26.18,Digos
2026-01-01 07:01:34+08:00,25.53,88.0,26.44,Dipolog
2026-01-01 07:00:00+08:00,24.99,100.0,26.16,Dumaguete
2026-01-01 07:01:42+08:00,25.9,82.0,26.69,General Santos
2026-01-01 07:01:46+08:00,25.49,88.0,26.39,Gingoog City
2026-01-01 07:01:53+08:00,23.37,92.0,24.16,Iligan City
2026-01-01 07:01:55+08:00,24.53,93.0,25.47,Iloilo City
2026-01-01 07:02:04+08:00,24.09,91.0,24.93,Kidapawan
2026-01-01 07:02:05+08:00,24.71,93.0,25.66,Koronadal
2026-01-01 07:00:50+08:00,25.02,94.0,26.03,Lapu-Lapu City
2026-01-01 07:02:17+08:00,25.37,93.0,26.39,Legazpi City
2026-01-01 07:02:23+08:00,24.23,94.0,25.16,Lucena
2026-01-01 07:00:00+08:00,26.39,79.0,26.39,Makati City
2026-01-01 07:02:32+08:00,20.4,96.0,21.0,Malaybalay
2026-01-01 07:02:39+08:00,25.95,83.0,25.95,Manila
2026-01-01 07:02:53+08:00,25.16,89.0,26.06,Ormoc
2026-01-01 07:02:59+08:00,23.86,91.0,24.68,Pagadian
2026-01-01 07:03:09+08:00,25.73,83.0,26.53,Quezon City
2026-01-01 07:03:40+08:00,25.76,84.0,26.58,Surigao City
2026-01-01 07:03:43+08:00,24.61,89.0,25.45,Tacloban City
2026-01-01 07:04:05+08:00,25.37,87.0,26.23,Toledo City
2026-01-01 07:04:17+08:00,24.99,88.0,25.84,Zamboanga City
2026-01-01 08:00:03+08:00,24.25,88.0,25.03,Angeles City
2026-01-01 08:00:06+08:00,24.72,88.0,25.55,Antipolo
2026-01-01 08:00:07+08:00,26.16,86.0,26.16,Bacolod
2026-01-01 08:00:13+08:00,15.36,92.0,15.35,Baguio
2026-01-01 08:00:15+08:00,27.6,80.0,31.12,Bais
2026-01-01 08:00:21+08:00,25.1,85.0,25.89,Batangas City
2026-01-01 08:00:26+08:00,28.84,85.0,35.37,Baybay
2026-01-01 08:00:33+08:00,27.39,82.0,30.86,Bogo
2026-01-01 08:00:35+08:00,25.82,88.0,26.76,Borongan
2026-01-01 08:00:01+08:00,27.78,85.0,32.28,Butuan
2026-01-01 08:00:39+08:00,27.77,84.0,32.11,Cabadbaran
2026-01-01 08:00:42+08:00,24.9,86.0,25.69,Cabanatuan City
2026-01-01 08:00:45+08:00,26.85,85.0,29.85,Cadiz
2026-01-01 08:00:48+08:00,27.73,73.0,30.52,Cagayan de Oro
2026-01-01 08:00:51+08:00,27.21,83.0,30.54,Calamba
2026-01-01 08:00:54+08:00,25.68,87.0,26.58,Calbayog City
2026-01-01 08:00:56+08:00,26.32,82.0,26.32,Caloocan City
2026-01-01 08:01:06+08:00,26.02,85.0,26.02,Catbalogan
2026-01-01 08:01:09+08:00,25.81,89.0,26.77,Cebu City
2026-01-01 08:01:20+08:00,23.65,87.0,24.34,Dagupan
2026-01-01 08:01:26+08:00,26.05,89.0,26.05,Davao
2026-01-01 08:01:28+08:00,27.13,83.0,30.34,Digos
2026-01-01 08:01:30+08:00,26.64,84.0,26.64,Dipolog
2026-01-01 08:01:32+08:00,24.99,94.0,26.0,Dumaguete
2026-01-01 08:00:02+08:00,28.29,78.0,32.5,General Santos
2026-01-01 08:01:42+08:00,27.24,83.0,30.61,Gingoog City
2026-01-01 08:01:49+08:00,25.76,89.0,26.72,Iloilo City
2026-01-01 08:01:58+08:00,25.98,83.0,25.98,Kidapawan
2026-01-01 08:02:00+08:00,27.39,85.0,31.23,Koronadal
2026-01-01 08:02:12+08:00,28.12,85.0,33.24,Legazpi City
2026-01-01 08:02:17+08:00,25.56,90.0,26.52,Lucena
2026-01-01 08:02:21+08:00,26.81,78.0,29.16,Makati City
